world_rank,university_name,country,teaching,international,research,citations,total_score,num_students,student_staff_ratio,international_students,year
99,University of Groningen,Netherlands,36,53,48.6,71.1,52.9,24556,25.6,12%,2014
100,University of Helsinki,Finland,35.5,51.3,46.5,77.8,52.6,23505,15.1,6%,2014
1,California Institute of Technology,United States,92.2,67,98.1,99.7,94.3,2243,6.9,27%,2015
2,Harvard University,United States,92.9,67.6,98.6,98.9,93.3,20152,8.9,25%,2015
3,University of Oxford,United Kingdom,88.6,90.7,97.7,95.5,93.2,19919,11.6,34%,2015
4,Stanford University,United States,91.5,69,96.7,99.1,92.9,15596,7.8,22%,2015
5,University of Cambridge,United Kingdom,89.7,87.8,95.6,95.2,92,18812,11.8,34%,2015
6,Massachusetts Institute of Technology,United States,89.1,84.3,88.2,100,91.9,11074,9,33%,2015
7,Princeton University,United States,86.6,61.2,94.7,99.6,90.9,7929,8.4,27%,2015
8,"University of California, Berkeley",United States,84.2,58.5,96.7,99.1,89.5,36186,16.4,15%,2015
9,Imperial College London,United Kingdom,84.6,92.7,88.3,89.4,87.5,15060,11.7,51%,2015
9,Yale University,United States,88.5,59.8,90.8,94,87.5,11751,4.4,20%,2015
11,University of Chicago,United States,83.9,65.2,89.9,97.3,87.1,14221,6.9,21%,2015
12,"University of California, Los Angeles",United States,82.4,49.2,90.5,95.3,85.5,38206,10.3,15%,2015
13,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,78.2,96.6,90.2,83.5,84.6,18178,14.7,37%,2015
14,Columbia University,United States,83.9,68.3,79.4,95.3,84.4,25055,5.9,28%,2015
15,Johns Hopkins University,United States,75.6,59.7,84.2,93.6,83,15128,3.6,23%,2015
16,University of Pennsylvania,United States,79,43.8,82,94.4,81,20376,6.5,20%,2015
17,University of Michigan,United States,77,49.8,86.5,88.9,80.9,41786,9,16%,2015
18,Duke University,United States,73.5,50.5,75.2,96.6,79.9,15172,4.8,17%,2015
19,Cornell University,United States,71.6,59,83.8,91.5,79.4,21424,10.2,19%,2015
20,University of Toronto,Canada,74.4,71.2,85.1,83,79.3,66198,19.5,15%,2015
21,Northwestern University,United States,72.7,36.7,78.9,96.9,79.2,18334,13.8,15%,2015
22,University College London,United Kingdom,70.4,90.6,80.4,85.1,78.7,26607,10.7,46%,2015
23,University of Tokyo,Japan,81.4,32.4,85.1,74.7,76.1,26199,5.7,10%,2015
24,Carnegie Mellon University,United States,61.6,59.3,74.9,92,74.3,11885,13.1,35%,2015
25,National University of Singapore,Singapore,72,94.9,78.1,66,73.3,31592,15.5,34%,2015
26,University of Washington,United States,64.5,47.9,68.9,95,73.2,44020,11.8,13%,2015
27,Georgia Institute of Technology,United States,62.5,68.9,71.2,85.8,72.8,19967,20.1,26%,2015
28,University of Texas at Austin,United States,64.3,33.1,72,91.5,72.3,49427,17.4,9%,2015
29,LMU Munich,Germany,65.1,56.4,69.1,83,71.9,35691,15.5,13%,2015
29,University of Illinois at Urbana-Champaign,United States,67.7,43.9,79,77.8,71.9,42727,18.7,20%,2015
29,University of Wisconsin-Madison,United States,67.7,33.6,71.3,87.7,71.9,39655,10.8,11%,2015
32,University of British Columbia,Canada,60.5,84.8,69,85.3,71.8,50152,17.6,25%,2015
33,University of Melbourne,Australia,60.4,81.3,70.9,80.6,71.2,40128,23.7,35%,2015
34,London School of Economics and Political Science,United Kingdom,65.4,87.4,74.2,71.3,70.9,8300,10,19%,2015
34,École Polytechnique Fédérale de Lausanne,Switzerland,54.7,98.8,56.9,95,70.9,9666,10.5,54%,2015
36,University of Edinburgh,United Kingdom,58.9,84.3,62.9,88.3,70.4,25774,14.1,36%,2015
37,"University of California, Santa Barbara",United States,49.4,64.3,61.4,99.2,70,22020,27.3,11%,2015
38,New York University,United States,68.3,41.2,62.4,89.5,69.9,42056,6.8,19%,2015
39,McGill University,Canada,63.3,79,69.9,76,69.6,31326,13.7,23%,2015
40,King’s College London,United Kingdom,55.6,87,62.3,88.3,69.4,21394,11.4,37%,2015
41,"University of California, San Diego",United States,52,37,66.6,96.4,68.6,27233,6.5,11%,2015
42,Washington University in St Louis,United States,57.6,46.5,55.2,97.1,67.8,12528,5.7,17%,2015
43,University of Hong Kong,Hong Kong,62.1,81.9,72.6,65.1,67.5,19835,17.6,38%,2015
44,Karolinska Institute,Sweden,57.1,60.6,68,76.8,66.8,7774,11.5,22%,2015
45,Australian National University,Australia,53.7,91.3,70.9,71.1,66.5,14604,19.2,35%,2015
46,University of Minnesota,United States,59.9,33.8,64.7,82.9,65.9,46825,18,13%,2015
46,University of North Carolina at Chapel Hill,United States,57.9,35.3,58.6,91,65.9,26518,7.3,8%,2015
48,Peking University,China,70,53.7,61.9,63.7,65.2,40148,8.3,14%,2015
49,Tsinghua University,China,64.1,44.6,68.3,65,65.1,39763,13.7,10%,2015
50,Seoul National University,South Korea,75.5,30.3,77.1,48.7,64.8,26389,13.9,10%,2015
51,Hong Kong University of Science and Technology,Hong Kong,51.8,77.8,66.8,72.9,64.7,11385,23.8,36%,2015
52,Korea Advanced Institute of Science and Technology (KAIST),South Korea,63.5,34.9,63.2,71.4,64.5,9027,10,9%,2015
52,University of Manchester,United Kingdom,58.1,82,58.7,74.3,64.5,34938,15.3,34%,2015
54,Brown University,United States,55.5,37,54.2,92,64.1,8653,10.1,19%,2015
55,KU Leuven,Belgium,53,62.3,63.6,71.8,63.7,42503,41.9,18%,2015
55,"University of California, Davis",United States,54.4,52.9,59.7,80.4,63.7,35364,13.9,13%,2015
57,Boston University,United States,56.4,47.8,46.7,94.4,63.6,24789,8.6,17%,2015
58,Pennsylvania State University,United States,54.6,37.4,64.8,76,62.9,44501,12.4,12%,2015
59,Kyoto University,Japan,70.4,29,68.4,57,62.8,22809,5.6,7%,2015
60,University of Sydney,Australia,52.8,83.6,60.8,69,62.7,41868,20.2,28%,2015
61,Nanyang Technological University,Singapore,43.9,92.5,55.9,75.9,62.2,25028,16.2,33%,2015
62,École Polytechnique,France,50.5,94.5,47.1,79.9,62.2,2429,4.8,30%,2015
63,Scuola Normale Superiore di Pisa,Italy,48.2,50.1,46,96.4,61.9,462,16.5,5%,2015
64,Leiden University,Netherlands,45,59.5,58.2,82.3,61.3,21222,17.1,10%,2015
65,The University of Queensland,Australia,45.8,80.4,58.4,74.2,61.2,34718,32.7,27%,2015
66,Pohang University of Science and Technology,South Korea,52.7,36,49.3,84.4,61.1,3055,10.1,4%,2015
67,University of Göttingen,Germany,46.9,53.9,48,92.3,61,25581,25.6,12%,2015
68,Ohio State University,United States,54,51.5,51.1,80.4,60.7,51462,13.4,12%,2015
69,Rice University,United States,41.7,70.8,37.1,99.9,59.8,6333,9,26%,2015
70,Heidelberg University,Germany,52.6,63.1,45.4,81.4,59.6,28881,24.5,17%,2015
71,Delft University of Technology,Netherlands,55.5,77.9,71.4,42.6,59.2,15920,19.4,25%,2015
72,Erasmus University Rotterdam,Netherlands,39.8,66.2,53.7,82.3,59.1,20580,18.9,18%,2015
73,Wageningen University and Research Center,Netherlands,44.3,78.7,46.8,77.5,59,9248,17,21%,2015
74,University of Bristol,United Kingdom,43.7,76.6,44.7,85.1,58.9,17906,14,25%,2015
75,University of Basel,Switzerland,41.2,91.2,41.1,81.4,58.4,12551,17.3,24%,2015
75,University of Southern California,United States,55.2,42.7,44.6,81.3,58.4,36534,12.9,20%,2015
77,University of Amsterdam,Netherlands,42,60.5,55.4,76.6,58.2,24570,14.4,11%,2015
78,École Normale Supérieure,France,48.7,81.9,36.2,84.8,58.1,2400,7.9,20%,2015
79,Utrecht University,Netherlands,38.2,52.9,54.8,80,58,30779,15.4,7%,2015
80,Humboldt University of Berlin,Germany,51.9,55.7,52.6,71.9,57.9,29987,52.5,16%,2015
81,Free University of Berlin,Germany,49.4,56.6,58,67.6,57.6,33062,39.3,20%,2015
82,Michigan State University,United States,51.1,55,49.4,74,57.3,44750,15.7,15%,2015
83,Durham University,United Kingdom,37.2,80.4,40.7,88.9,56.9,15489,15.7,24%,2015
83,Monash University,Australia,43.7,79.6,54.4,65.7,56.9,50882,40.5,36%,2015
85,Middle East Technical University,Turkey,45.5,38.7,36.9,92,56.6,25779,22.2,7%,2015
86,University of Arizona,United States,44.9,38.8,51.4,74,56.5,36429,12.7,8%,2015
86,University of Notre Dame,United States,43.3,51.4,38.5,90,56.5,11829,13.8,10%,2015
88,Tufts University,United States,43.6,51.1,33.9,92.9,56.4,10410,10,14%,2015
88,"University of California, Irvine",United States,39.5,56.1,41.7,89.5,56.4,26614,16.1,16%,2015
90,Ghent University,Belgium,42.5,49.1,51.6,73.8,56.2,32166,34.1,9%,2015
91,University of Massachusetts,United States,44.8,40.3,49.1,78.7,56.1,56959,13,11%,2015
92,University of Pittsburgh,United States,45.2,32.2,46.3,84.4,56.1,26485,5.8,10%,2015
93,Emory University,United States,49,42.9,32.4,89.5,55.5,12338,4.5,18%,2015
94,McMaster University,Canada,38.1,69.4,43.2,78.8,55.3,23823,19.3,15%,2015
94,University of Glasgow,United Kingdom,37,78.8,40.5,83.7,55.3,22616,16,29%,2015
96,Vanderbilt University,United States,46,28.3,38.2,87.7,55.2,12161,3.6,10%,2015
97,University of Colorado Boulder,United States,35,39.1,38.3,97.4,55.1,29325,16.1,8%,2015
98,Stockholm University,Sweden,30.1,53.2,45,90.9,54.6,31715,23.7,8%,2015
99,Technical University of Munich,Germany,45.6,64,37.4,78.8,54.6,35565,31.5,20%,2015
100,Uppsala University,Sweden,40.2,57.5,53,70.9,54.6,25266,18.2,12%,2015
1,California Institute of Technology,United States,95.6,64,97.6,99.8,95.2,2243,6.9,27%,2016
2,University of Oxford,United Kingdom,86.5,94.4,98.9,98.8,94.2,19919,11.6,34%,2016
3,Stanford University,United States,92.5,76.3,96.2,99.9,93.9,15596,7.8,22%,2016
4,University of Cambridge,United Kingdom,88.2,91.5,96.7,97,92.8,18812,11.8,34%,2016
5,Massachusetts Institute of Technology,United States,89.4,84,88.6,99.7,92,11074,9,33%,2016
6,Harvard University,United States,83.6,77.2,99,99.8,91.6,20152,8.9,25%,2016
7,Princeton University,United States,85.1,78.5,91.9,99.3,90.1,7929,8.4,27%,2016
8,Imperial College London,United Kingdom,83.3,96,88.5,96.7,89.1,15060,11.7,51%,2016
9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,77,97.9,95,91.1,88.3,18178,14.7,37%,2016
10,University of Chicago,United States,85.7,65,88.9,99.2,87.9,14221,6.9,21%,2016
11,Johns Hopkins University,United States,77.6,70,90.4,98.2,87.6,15128,3.6,23%,2016
12,Yale University,United States,86.5,64.3,87.8,97.2,87.4,11751,4.4,20%,2016
13,"University of California, Berkeley",United States,80.4,61.9,91.1,99.7,87.2,36186,16.4,15%,2016
14,University College London,United Kingdom,78.1,94.4,91,94.2,87.1,26607,10.7,46%,2016
15,Columbia University,United States,85.9,73.5,82.2,98.1,86.1,25055,5.9,28%,2016
16,"University of California, Los Angeles",United States,80.8,56.4,88.6,98.5,85.8,38206,10.3,15%,2016
17,University of Pennsylvania,United States,82,49.5,86.9,98.6,85.2,20376,6.5,20%,2016
18,Cornell University,United States,77.9,63.9,86.1,97.2,84,21424,10.2,19%,2016
19,University of Toronto,Canada,75.9,77.8,89.3,90.9,83.9,66198,19.5,15%,2016
20,Duke University,United States,76,56.5,78,99,82.7,15172,4.8,17%,2016
21,University of Michigan,United States,76.8,53.7,85.2,94.4,82.4,41786,9,16%,2016
22,Carnegie Mellon University,United States,67.4,57.1,88.8,99.1,82.3,11885,13.1,35%,2016
23,London School of Economics and Political Science,United Kingdom,69.8,93.6,80.6,94.3,81.3,8200,10.5,12%,2016
24,University of Edinburgh,United Kingdom,68.6,89.8,77.2,96.3,80.3,25774,14.1,36%,2016
25,Northwestern University,United States,69.8,53.9,78.4,96.5,79.5,18334,13.8,15%,2016
26,National University of Singapore,Singapore,71.7,96.2,84.5,79.4,79.2,31592,15.5,34%,2016
27,King’s College London,United Kingdom,64.5,93.8,75.8,93.8,78.2,21394,11.4,37%,2016
28,Karolinska Institute,Sweden,60.6,73.1,81.1,92.2,77.5,7774,11.5,22%,2016
29,LMU Munich,Germany,70.5,62.8,77.4,85.7,77.3,35691,15.5,13%,2016
30,New York University,United States,74.7,49.3,72.3,95.3,77.2,42056,6.8,19%,2016
31,École Polytechnique Fédérale de Lausanne,Switzerland,61.3,98.6,67.5,94.6,76.1,9666,10.5,54%,2016
32,University of Washington,United States,67.1,51.2,70,98.6,75.6,44020,11.8,13%,2016
33,University of Melbourne,Australia,62,87.1,75.5,86.6,75.4,40128,23.7,35%,2016
34,University of British Columbia,Canada,60.2,90.5,73.2,91.5,75.3,50152,17.6,25%,2016
35,KU Leuven,Belgium,59.9,68.6,76.9,87.3,74.8,42503,41.9,18%,2016
36,University of Illinois at Urbana-Champaign,United States,64.5,45.8,81.2,86.8,74.5,42727,18.7,20%,2016
37,Heidelberg University,Germany,68.8,62.8,69.6,88.2,74.4,28881,24.5,17%,2016
38,McGill University,Canada,66.1,85.5,72.1,78.9,72.6,31326,13.7,23%,2016
39,"University of California, San Diego",United States,56.9,42.9,69.8,98.7,72.2,27233,6.5,11%,2016
40,"University of California, Santa Barbara",United States,52.6,61.5,66,99.2,72.2,22020,27.3,11%,2016
41,Georgia Institute of Technology,United States,57.8,71.5,72.7,86,72.1,19967,20.1,26%,2016
42,Peking University,China,77.8,49.2,72.4,69.1,72,40148,8.3,14%,2016
43,University of Tokyo,Japan,81.4,30.3,83,60.9,71.1,26199,5.7,10%,2016
44,"University of California, Davis",United States,60.1,58.4,72.7,84.3,71,35364,13.9,13%,2016
45,University of Hong Kong,Hong Kong,64.6,99.5,72.8,70.1,71,19835,17.6,38%,2016
46,University of Texas at Austin,United States,59.3,31.7,69.7,92.2,70.3,49427,17.4,9%,2016
47,Tsinghua University,China,73.3,39.5,83,58.8,70,39763,13.7,10%,2016
48,Wageningen University and Research Center,Netherlands,52.6,70.3,66.9,87.8,70,9248,17,21%,2016
49,Humboldt University of Berlin,Germany,63.7,62.6,77,73.6,69.9,29987,52.5,16%,2016
50,University of Wisconsin-Madison,United States,65.1,33,68.2,86.6,69.7,39655,10.8,11%,2016
51,Brown University,United States,62.8,57.8,55.7,96.4,69.6,8653,10.1,19%,2016
52,Australian National University,Australia,54.7,93.3,77.3,72.3,69.5,14604,19.2,35%,2016
53,Technical University of Munich,Germany,61,63.8,66,80.1,69.4,35565,31.5,20%,2016
54,École Normale Supérieure,France,70.6,85.5,47.7,87.1,69,2400,7.9,20%,2016
55,Nanyang Technological University,Singapore,48.4,94.6,61.3,85.6,68.2,25028,16.2,33%,2016
56,University of Manchester,United Kingdom,58.4,87,66,77.3,68.1,34938,15.3,34%,2016
56,University of Sydney,Australia,54.3,84.4,68.1,77.5,68.1,41868,20.2,28%,2016
58,University of Amsterdam,Netherlands,52.2,66.5,64.7,87.4,67.8,24570,14.4,11%,2016
59,Hong Kong University of Science and Technology,Hong Kong,49.4,80.5,66.1,82.6,67.2,11385,23.8,36%,2016
60,The University of Queensland,Australia,49.2,89.3,62.8,82.4,67,34718,32.7,27%,2016
61,Washington University in St Louis,United States,54.3,44.9,55.6,99.2,67,12528,5.7,17%,2016
62,Utrecht University,Netherlands,48.1,55.8,64.3,88.1,66.6,30779,15.4,7%,2016
63,University of North Carolina at Chapel Hill,United States,58,39,54.5,95.9,66.4,26518,7.3,8%,2016
64,Boston University,United States,57.8,51,49.5,97.7,66.1,24789,8.6,17%,2016
65,Delft University of Technology,Netherlands,55,84,73.8,61.5,65.9,15920,19.4,25%,2016
66,University of Minnesota,United States,53.5,35.3,61,88,65.9,46825,18,13%,2016
67,Leiden University,Netherlands,50.5,64.3,63.1,85.2,65.7,21222,17.1,10%,2016
68,University of Southern California,United States,49.3,56.3,58.9,93,65.5,36534,12.9,20%,2016
69,University of Bristol,United Kingdom,47.6,82.4,51.6,91.2,64.3,17906,14,25%,2016
70,Durham University,United Kingdom,47.9,86.4,51.9,87.7,63.6,15489,15.7,24%,2016
71,Erasmus University Rotterdam,Netherlands,37.2,76.1,55.2,95.6,63.5,20580,18.9,18%,2016
72,Free University of Berlin,Germany,57.9,69.2,72.2,60.2,63.2,33062,39.3,20%,2016
73,Monash University,Australia,48.1,87.6,58.5,73.3,62.5,50882,40.5,36%,2016
74,University of Groningen,Netherlands,43.3,63.9,56.9,84,62.4,24556,25.6,12%,2016
75,Pennsylvania State University,United States,50.4,40.8,61.9,80.5,62.3,44501,12.4,12%,2016
76,University of Glasgow,United Kingdom,41.6,85.8,48.3,92.3,61.9,22616,16,29%,2016
77,University of Helsinki,Finland,48.4,51.8,60.4,82.1,61.9,23505,15.1,6%,2016
78,University of Tübingen,Germany,47,58.2,59.8,79.3,61.7,28327,38.9,12%,2016
79,University of Pittsburgh,United States,50.6,33.9,50.3,92.3,61.5,26485,5.8,10%,2016
80,University of Warwick,United Kingdom,47.4,90.3,53.1,78.2,61.3,18529,16.6,37%,2016
81,Uppsala University,Sweden,44.1,59.6,61,80.9,61.2,25266,18.2,12%,2016
82,University of Copenhagen,Denmark,49.8,83.3,42.7,86.2,61,27545,4.1,19%,2016
83,University of New South Wales,Australia,40.7,89.5,53.9,82.1,61,38309,25.9,33%,2016
84,University of Freiburg,Germany,47.4,60.3,51.1,80.5,60.7,26467,31.2,16%,2016
85,Seoul National University,South Korea,66.5,30.9,70.5,50,60.5,26389,13.9,10%,2016
86,University of St Andrews,United Kingdom,49.7,92.3,47.3,78.8,60.4,8338,12.7,47%,2016
87,Vanderbilt University,United States,47.8,29.1,44.2,95.7,60.1,12161,3.6,10%,2016
88,Kyoto University,Japan,70.6,26.1,69.3,46.6,59.9,22809,5.6,7%,2016
89,Maastricht University,Netherlands,37.5,95.5,47.7,82.7,59.9,15626,18.9,48%,2016
90,Emory University,United States,48.3,51,37.1,96.7,59.7,12338,4.5,18%,2016
91,Lund University,Sweden,39.7,74.1,53.6,81.3,59.7,28251,11.5,15%,2016
92,Ohio State University,United States,51.6,53,46.6,83.2,59.7,51462,13.4,12%,2016
93,University of Exeter,United Kingdom,39.4,87.3,40,94.3,59.5,17755,18.8,28%,2016
94,University of Bonn,Germany,45.1,63.6,47.5,85.3,58.8,32474,70.4,13%,2016
95,Georgetown University,United States,54.4,52.7,39.3,82.5,58.8,15408,8.5,14%,2016
96,McMaster University,Canada,39.8,76.1,44.8,84.9,58.8,23823,19.3,15%,2016
97,University of Sheffield,United Kingdom,42.4,81.9,48.8,80.1,58.6,23311,15.5,31%,2016
98,Queen Mary University of London,United Kingdom,34.1,93.5,41.3,93.3,58.5,14260,14,40%,2016
99,University of Göttingen,Germany,49.3,56.4,54.5,72.7,58,25581,25.6,12%,2016
100,Michigan State University,United States,47.3,56.4,52.6,76.8,58,44750,15.7,15%,2016